X,CH1,
Second,Volt,
2.66200e-03,-4.00e-03,
2.66300e-03,-6.00e-03,
2.66400e-03,-4.00e-03,
2.66500e-03,0.00e+00,
2.66600e-03,0.00e+00,
2.66700e-03,6.00e-03,
2.66800e-03,8.00e-03,
2.66900e-03,4.00e-03,
2.67000e-03,6.00e-03,
2.67100e-03,2.00e-03,
2.67200e-03,0.00e+00,
2.67300e-03,-4.00e-03,
2.67400e-03,-4.00e-03,
2.67500e-03,-4.00e-03,
2.67600e-03,-4.00e-03,
2.67700e-03,-2.00e-03,
2.67800e-03,-2.00e-03,
2.67900e-03,4.00e-03,
2.68000e-03,2.00e-03,
2.68100e-03,6.00e-03,
2.68200e-03,6.00e-03,
2.68300e-03,2.00e-03,
2.68400e-03,2.00e-03,
2.68500e-03,-2.00e-03,
2.68600e-03,-2.00e-03,
2.68700e-03,-4.00e-03,
2.68800e-03,-4.00e-03,
2.68900e-03,-2.00e-03,
2.69000e-03,-2.00e-03,
2.69100e-03,-2.00e-03,
2.69200e-03,0.00e+00,
2.69300e-03,4.00e-03,
2.69400e-03,4.00e-03,
2.69500e-03,6.00e-03,
2.69600e-03,4.00e-03,
2.69700e-03,0.00e+00,
2.69800e-03,0.00e+00,
2.69900e-03,-4.00e-03,
2.70000e-03,-4.00e-03,
2.70100e-03,-2.00e-03,
2.70200e-03,-4.00e-03,
2.70300e-03,-2.00e-03,
2.70400e-03,-2.00e-03,
2.70500e-03,4.00e-03,
2.70600e-03,2.00e-03,
2.70700e-03,6.00e-03,
2.70800e-03,6.00e-03,
2.70900e-03,2.00e-03,
2.71000e-03,4.00e-03,
2.71100e-03,-2.00e-03,
2.71200e-03,-2.00e-03,
2.71300e-03,-4.00e-03,
2.71400e-03,-4.00e-03,
2.71500e-03,-2.00e-03,
2.71600e-03,-2.00e-03,
2.71700e-03,0.00e+00,
2.71800e-03,0.00e+00,
2.71900e-03,6.00e-03,
2.72000e-03,6.00e-03,
2.72100e-03,2.00e-03,
2.72200e-03,4.00e-03,
2.72300e-03,0.00e+00,
2.72400e-03,0.00e+00,
2.72500e-03,-4.00e-03,
2.72600e-03,-4.00e-03,
2.72700e-03,-2.00e-03,
2.72800e-03,-4.00e-03,
2.72900e-03,-2.00e-03,
2.73000e-03,-2.00e-03,
2.73100e-03,2.00e-03,
2.73200e-03,2.00e-03,
2.73300e-03,6.00e-03,
2.73400e-03,6.00e-03,
2.73500e-03,2.00e-03,
2.73600e-03,0.00e+00,
2.73700e-03,-2.00e-03,
2.73800e-03,-2.00e-03,
2.73900e-03,-4.00e-03,
2.74000e-03,-2.00e-03,
